dataset,mean,persistence,ridge,knn,trees,mlp,cnn,gru
abalone,-0.0034955209421736,0.1661220837924666,0.3642536932896771,0.3284556691461419,0.4021177436216392,0.1344242585393574,0.0611281491245343,0.0513438732994477
airline_monthly,-7.523031384719696,0.5486363513349438,0.6223205626530832,-2.141022271461446,-2.0490626654778663,-0.0266651061466922,-0.1439709830587989,0.1890647702080822
airline_passengers,-7.523031384719696,0.5486363513349438,0.6223205626530832,-2.141022271461446,-2.0490626654778663,-0.0266651061466922,-0.1439709830587989,0.1890647702080822
auto_imports,-0.0562432978792206,0.0554614561884304,-0.3328862516827848,0.0824100768512829,0.0039783953025654,-0.1715454454673006,-0.5024946081121267,-0.8805702870824046
banknote,-0.3792386316359788,0.3909807836447012,0.6913726405945175,0.9542865818538152,0.9618575649550042,0.9780816320318044,0.9469600746352422,0.968601140239471
bc_wisconsin,-0.0911667587851872,-0.7094103264473652,-0.1342186177782178,-0.0849331062696658,-0.2628285094949811,-0.7290133554637603,-1.2458520219125817,-1.1846747416755297
births_daily,-0.1551142466749271,-0.5056878801241105,-0.1083860263213545,-0.1969085036228757,-0.4476531544974256,-1.9238295911556067,-2.541141047627637,-1.0605434823223208
breast_cancer,-0.0226877186686598,-0.735696025653173,-0.8046721471958296,-0.1446269461698217,-0.1109924064888052,-0.5975248794763108,-1.2340979354305488,-1.7787342970472553
co2_weekly,-32.69963134571146,0.9914360179828988,0.991819566481674,-2.9281210645053157,-2.942773867252413,0.9411137126237914,0.9840373554978098,0.9828652331425026
ctrl_periodic,-0.0034537113571095,0.9882666218204904,0.9999993340197932,1.0,0.9999942074154116,0.9999738634280672,0.9999848545157588,0.9999896849703028
ctrl_random_walk,-1.0636329424143995,0.993635753594407,0.9935026226564772,0.5935888891610102,0.8969082712548698,0.9811138587339976,0.9855278106337096,0.9890888044207322
ctrl_white_noise,-0.0003204800045946,-1.0305757622448,-0.0190797066461574,-0.1122286642038783,-0.0950765371963171,-1.6751001674868533,-1.0144960087638806,-1.308908830122038
diabetes_tab,-0.0015378894203152,-1.0174156815301667,-0.3941263722749313,-0.1185849820594686,-0.2066515018480663,-0.6704550879148845,-1.3209881846667932,-1.699319499324309
digits_rows,-0.0057803462183985,-0.9914118598650076,-0.0591211630300649,-0.0382378864979064,-0.0417453273800558,-0.8137741389094251,-1.1488651611097969,-1.3291380881533232
ecoli,-0.3244369758585277,0.2756450183587421,-0.7673320672396273,-0.4260376880687204,-0.3043512605103251,-1.1646684139845092,-1.5202594659673725,-6.69150236277293
german_credit,-0.0075321899480504,-0.945822972363433,-0.1006357415328438,-0.1223518034945108,-0.1524589891793937,-0.895477830889639,-1.1384512124714536,-0.989442149876933
glass,-0.3224383837966467,0.2438714369976364,-1.8191989866200584,-0.264423751429512,-0.4203968552063621,-0.9240166684628142,-0.7095256942184449,-0.4652470915410343
grunfeld_firms,-0.8270770261118683,0.6800323620922055,0.6877469266776206,0.6020220900204909,0.9307632165437264,0.7934164145126368,0.8389893807865938,0.9488444684311758
haberman,-0.4345586357460524,-0.0991656154351736,0.3256105111389765,0.0877639247508743,0.043703027659497,-0.5981239132447613,-0.9884144416406196,-0.1052078066517565
horse_colic,-0.0102843406601917,-1.0018144659986508,-0.4812264961723813,-0.1142512603157501,-0.2154961750815422,-0.8533934477990193,-1.7032087751508178,-1.047359545926891
housing_boston,-0.6528272272005144,0.6733304893018506,-1.874610433002709,0.0146235754241589,0.1596080002753571,-1.8078304290152225,-0.2197296907573367,0.198742540265485
ionosphere,-0.0560712064280928,0.3161612564673978,-3.173628142912234,-0.1206143066920728,-0.1625766594604913,-0.6917497671956516,-0.8280943340091595,-3.231023512990599
iris,-2.3611322548218423,-0.2709225229234591,-0.7599918587657803,-0.9920110574036048,-1.280939630958689,-2.2970976969702024,-2.763557934417371,-0.2320761479131385
macro_us,-1.467993825336236,0.668884833705794,0.0654451232093283,0.1407745567202428,0.1609769520046545,0.2597323234996872,0.2621105590284321,0.6189213161922092
mammography,-0.0001196286152338,-0.8769415787744435,0.0293651311900289,-0.0616840427752958,-0.0097180688810012,-0.6984854255064181,-0.2883424101362453,-0.4060524556118106
oil_spill,-0.5307627521862914,0.052785643529477,-1.8170879447792947,0.1486468360021559,0.0413399478700071,-0.6136447273503614,-0.5826075310051886,-0.2765119928632953
paper_sales,-0.9918477426843656,-0.0703377390882948,-0.1202532858991047,-0.5515877873597121,-0.4645960090368637,-0.4764758860973022,-2.2923914059223334,0.0106744108058327
phoneme,-0.0008533465366309,-0.9450967832718528,-0.0125471185317838,-0.1400198643540231,-0.0700841615057912,-1.5053061061783488,-0.729766257051599,-1.0500256361397624
pima_diabetes,-0.0017054069453241,-1.088821554242588,-0.1136756885618135,-0.128885962733307,-0.1269754839186025,-0.8306626236772279,-1.815965214109745,-1.8082865177926637
pollution_beijing,-0.3130909506647916,0.924828272815286,0.9401168863948915,0.7268144663880672,0.8855633900846303,0.940992885201931,0.9517685981931312,0.93039291005281
sim_DequanLi,-0.3393835505704441,0.9988891312378846,0.9999767379152592,0.8902190508329701,0.997395704932044,0.9998189696188172,0.999953416092487,0.9999480837604086
sim_Halvorsen,-0.0002352672295942,0.9930512858219108,0.9998591503528892,0.9995595038818988,0.999857935684489,0.9999754992846211,0.9999145977440356,0.9999928023852636
sim_HyperCai,-0.275247194568937,0.9964953638763484,0.9999227918574723,0.833595877012768,0.952290871518226,0.999236260151637,0.9995828228818356,0.9976354965161108
sim_Lorenz,-0.0040540666939026,0.9874326427836514,0.9998047122156024,0.9995856900663566,0.9998047628980204,0.9998781470890992,0.999898494886108,0.9999920204740904
sim_Rossler,-0.0003449274143636,0.989187481318088,0.9998435301289944,0.9994489496572636,0.9997267131829206,0.9999729912280916,0.9999788350211206,0.9999680687447144
sim_Thomas,-0.0040478925038425,0.9888402449830308,0.9993700256699424,0.999370213715634,0.9997913209057044,0.9999019192340934,0.9998987825733152,0.999974618986756
sonar,-0.1631882080257471,0.1734958873693138,-0.6641558516100852,-0.3416061628924374,-0.0051346179131233,-0.2272011016580737,-0.2587501677340937,-0.8170537042431427
sunspots_annual,-1.7094363024543928,0.6735027368327781,0.873845946647791,-0.309741245691391,0.4565329683498953,-0.6343656377493996,-0.1296622917900074,0.2508879598683848
sunspots_monthly,-0.243812031120121,0.8714217835407714,0.8855749498693471,0.814943072627505,0.8426603197000798,0.8540937577388521,0.8533537841083702,0.8667825869358033
temps_daily_max,-0.0022268085114611,0.4759961009423321,0.5866536123063759,0.5480676911236085,0.5615588362457273,0.4393621154604907,0.5279800259899647,0.433717758278542
temps_daily_min,-0.0105434340523258,0.5617725532113202,0.6559723482706289,0.6029839021075476,0.6226635322970753,0.5594332739727408,0.6189651234636777,0.45533499060964
temps_monthly_mean,-0.0020313239315861,0.5904248762732857,0.9025663547704438,0.9281540026348204,0.9065171289409644,0.8863697830430588,0.888194396801443,0.9210850032328816
thyroid,-0.3340901574825294,0.1335710113294087,-1.4027258109330585,-0.3349921910755984,-0.3042297608706694,-2.955209023003758,-2.189429473771325,-0.9362602573620212
wheat_seeds,-1.2120600299390245,0.5028080769849468,-0.0038687076409287,0.4656370798383594,0.2808375870254253,0.0852849358376187,-0.2208891646127977,-0.4844515326438179
wine_quality_red,-0.0816456147038804,-0.6223290542806721,-0.0428836781086672,-0.1372208281839317,-0.1018142952482383,-1.068305277629325,-1.5440529431226755,-1.488878834132882
wine_quality_white,-0.0454758046597205,-0.5424728438598898,0.0370523509741177,-0.0861467450655704,-0.0351268336213734,-1.1455607346968804,-0.7205051872321986,-0.9722678687327088
wine_tab,-0.5501859982459749,0.4668164224418909,-6.81401197632813,-0.8730312627792547,-0.6354015374503241,-0.9310361811622878,-1.2823593176438797,-3.0083475211746533
