batch,err_h1,err_h200,err_h50,lr,seed,system,train_loss,vpt_steps,wall_s
64,0.0010163082042708993,1.3355082273483276,0.41363638639450073,0.001,0,Lorenz,1.017460388084146e-06,49.0,48.0
64,0.001043017371557653,1.3341147899627686,0.29116830229759216,0.001,1,Lorenz,1.054201326041948e-06,52.0,43.1
64,0.0009801945416256785,1.3186455965042114,0.26068586111068726,0.001,2,Lorenz,9.034984359459486e-07,55.0,48.5
128,0.001282273093238473,1.4521712064743042,0.24228563904762268,0.002,0,Lorenz,1.5581879488308913e-06,51.0,24.2
128,0.001231444883160293,1.291860580444336,0.2858630120754242,0.002,1,Lorenz,1.6423320194007829e-06,50.0,23.9
128,0.0013117303606122732,1.3960527181625366,0.27804312109947205,0.002,2,Lorenz,1.3838121285516537e-06,51.0,24.0
256,0.002005800139158964,1.3965911865234375,0.31484556198120117,0.003,0,Lorenz,4.086209368324489e-06,50.0,15.5
256,0.002962849335744977,1.3463547229766846,0.441508412361145,0.003,1,Lorenz,4.556271196634043e-06,49.0,15.2
256,0.0020196842961013317,1.5579253435134888,0.47998905181884766,0.003,2,Lorenz,3.4787758122547528e-06,48.0,15.5
512,0.003293267684057355,1.4187493324279785,0.6221210956573486,0.004,0,Lorenz,1.0709765789215454e-05,47.0,11.0
512,0.004517987836152315,1.3608677387237549,0.4971264898777008,0.004,1,Lorenz,1.2122315863962285e-05,36.0,11.0
512,0.0032545109279453754,1.4759719371795654,0.5299288034439087,0.004,2,Lorenz,9.613416601496282e-06,29.999999999999996,10.9
1024,0.00510776462033391,1.3986165523529053,0.7085912227630615,0.01,0,Lorenz,1.484423948568292e-05,28.0,8.3
1024,0.005184059496968985,1.3954368829727173,0.6996659636497498,0.01,1,Lorenz,1.592049242754001e-05,33.0,8.6
1024,0.005159917287528515,1.2644528150558472,0.6887111663818359,0.01,2,Lorenz,1.5992359258234502e-05,29.0,8.3
64,0.0019893180578947067,0.8066559433937073,0.44136184453964233,0.001,0,Rossler,2.8509429703262867e-06,28.0,41.5
64,0.0014064772985875607,12.720433235168457,1.6978888511657715,0.001,1,Rossler,1.7973250455725064e-06,27.0,41.3
64,0.0015168009558692575,2.230130195617676,1.4089604616165161,0.001,2,Rossler,2.0718575074170076e-06,7.0,42.4
128,0.0023402944207191467,0.6815809011459351,0.45908936858177185,0.002,0,Rossler,3.6057641791558126e-06,28.0,24.2
128,0.0018640535417944193,15.61081600189209,2.115455150604248,0.002,1,Rossler,2.892662645535893e-06,18.0,23.8
128,0.0016341865994036198,8.236138343811035,2.6228151321411133,0.002,2,Rossler,2.2601092987315496e-06,10.0,24.2
256,0.002812794642522931,0.8435811400413513,0.38324859738349915,0.003,0,Rossler,5.891746877750848e-06,25.999999999999996,16.0
256,0.0027284182142466307,49.18552017211914,6.1640119552612305,0.003,1,Rossler,6.292342935921625e-06,8.0,15.4
256,0.0024280722718685865,2.806464195251465,2.0757195949554443,0.003,2,Rossler,4.333744225732516e-06,7.0,15.4
512,0.004400890786200762,0.8462629914283752,0.2743456959724426,0.004,0,Rossler,1.4357966880197637e-05,29.0,10.9
512,0.0043159485794603825,41.846435546875,7.517465114593506,0.004,1,Rossler,1.2873806808784138e-05,9.0,10.9
512,0.004110198467969894,17.61322784423828,2.5459516048431396,0.004,2,Rossler,1.24577395254164e-05,5.999999999999999,10.9
1024,0.00459053460508585,0.9520019292831421,0.3381494879722595,0.01,0,Rossler,1.2736079741443972e-05,35.0,8.5
1024,0.004601064138114452,44.47410583496094,9.08459186553955,0.01,1,Rossler,1.5251445875037462e-05,8.0,8.4
1024,0.005408360622823238,70.0802001953125,7.362180233001709,0.01,2,Rossler,2.0842614278080873e-05,8.0,8.5
64,0.00854882039129734,1.5082201957702637,1.206437110900879,0.001,0,Thomas,7.357865662197582e-05,6.0,41.8
64,0.00899285078048706,1.4510555267333984,1.386383295059204,0.001,1,Thomas,7.971453882055357e-05,5.0,42.5
64,0.008881335146725178,1.448241949081421,1.4628984928131104,0.001,2,Thomas,7.709462440107017e-05,6.0,42.1
128,0.009354022331535816,1.5995792150497437,1.4003560543060303,0.002,0,Thomas,9.32113824528642e-05,7.0,24.1
128,0.009693698026239872,1.5591965913772583,1.5010393857955933,0.002,1,Thomas,9.86343719996512e-05,7.0,24.1
128,0.008476323448121548,1.4757626056671143,1.311903476715088,0.002,2,Thomas,7.245149451773614e-05,8.0,24.0
256,0.011314820498228073,1.4246883392333984,1.334634780883789,0.003,0,Thomas,0.0001286432781489566,7.0,15.4
256,0.012332247570157051,1.43294358253479,1.3138813972473145,0.003,1,Thomas,0.00015026958030648529,7.0,15.4
256,0.01021207682788372,1.5665313005447388,1.490557312965393,0.003,2,Thomas,0.00011298645625356584,7.0,15.7
512,0.01562875509262085,1.4719507694244385,1.3822275400161743,0.004,0,Thomas,0.0002251052667852491,6.0,10.7
512,0.0157927218824625,1.4105737209320068,1.3470885753631592,0.004,1,Thomas,0.0002781973381061107,7.0,11.2
512,0.014414181932806969,1.501318097114563,1.5132683515548706,0.004,2,Thomas,0.00021268195635639132,7.0,11.1
1024,0.01797754131257534,1.519258737564087,1.4754277467727661,0.01,0,Thomas,0.00036938003194518385,5.0,8.4
1024,0.02238592319190502,1.3637077808380127,1.3793820142745972,0.01,1,Thomas,0.0004368889718316495,6.0,8.4
1024,0.01818586327135563,1.4276049137115479,1.341749668121338,0.01,2,Thomas,0.00029853361938148737,7.0,8.3
