system,dim,nn_dist,attractor_spread,coverage,lyap_max,model_vpt,parrot_vpt,censored,ratio,log_ratio
Aizawa,3,0.03650970230013026,2.249775737608472,0.01622815185078862,0.1348955553010636,200.0,200.0,1.0,1.0,0.0
AnishchenkoAstakhov,3,0.02020215245897075,2.2274212223555194,0.009069749473611811,0.1010772679152754,200.0,200.0,1.0,1.0,0.0
Arneodo,3,0.042666090669462683,2.3283938516719345,0.01832425843197693,0.2373746866705128,200.0,183.0,1.0,1.092896174863388,0.08883121370661583
AtmosphericRegime,3,0.005722112585142689,2.1303454745811563,0.002686002178246561,0.0105432749322748,23.0,67.0,0.0,0.34328358208955223,-1.0691984034618165
BeerRNN,3,0.011118758999044616,2.218865421394735,0.005011010984188298,0.0387678001318152,48.0,29.0,0.0,1.6551724137931034,0.5039051809214169
BelousovZhabotinsky,3,0.01832561158207667,1.971556978238692,0.00929499465871284,132.08766434104578,61.0,200.0,0.0,0.305,-1.1874435023747254
Blasius,3,0.016959591077798486,2.0645613439392583,0.008214622020113468,0.1259733936412817,200.0,200.0,1.0,1.0,0.0
Bouali2,3,0.07626666452606534,2.207028677037688,0.03455626350466446,0.0768173021397551,68.0,38.0,0.0,1.7894736842105263,0.581921545449721
Bouali,3,0.022454690431573693,2.117225435555809,0.01060571541153762,0.0601256351810203,175.0,200.0,0.3333333333333333,0.875,-0.13353139262452263
BurkeShaw,3,0.04101767435028647,2.23396079548039,0.018360964271741415,2.324596351534631,99.0,50.0,0.0,1.98,0.6830968447064438
CaTwoPlusQuasiperiodic,3,0.022142158819817896,2.10277141310495,0.010529988510316873,0.4808315295437332,200.0,200.0,1.0,1.0,0.0
CaTwoPlus,3,0.011312123539618468,2.1160244086477866,0.005345932444535131,0.5802865327706731,200.0,200.0,1.0,1.0,0.0
CellCycle,6,0.03072945318639142,3.045606333762779,0.01008976532709855,0.0101721284096357,127.0,73.0,0.0,1.7397260273972603,0.5537276453102001
CellularNeuralNetwork,3,0.0070441210195673655,2.1258113236252147,0.003313615343601989,2.325846897709656,88.0,200.0,0.0,0.44,-0.8209805520698302
ChenLee,3,0.0050100910301704915,2.1433379021245655,0.0023375180484627653,0.163631154301603,55.0,200.0,0.0,0.275,-1.2909841813155656
Chen,3,0.036730769304597385,2.2144829995225135,0.01658661155335908,2.005961349488129,62.0,62.0,0.0,1.0,0.0
Chua,3,0.026789605287172252,2.245490171784403,0.011930404160212202,1.2301163591725597,200.0,114.0,1.0,1.7543859649122806,0.5621189181535412
CoevolvingPredatorPrey,3,0.009386453071222793,1.9925040632328739,0.0047108827753119375,0.0073269803903578,65.0,200.0,0.0,0.325,-1.1239300966523995
Colpitts,3,0.02033589439594085,2.2726156388011414,0.00894823306182497,0.3736008151161584,200.0,200.0,1.0,1.0,0.0
Coullet,3,0.05379327564018843,2.2052137357058696,0.024393678839012705,0.1371876202483151,178.0,146.0,0.0,1.2191780821917808,0.1981769285837487
Dadras,3,0.019891893187457373,2.0909062487758088,0.009513527064689654,0.4059152104952006,38.0,60.0,0.0,0.6333333333333333,-0.456758402495715
DequanLi,3,0.09916184908374458,2.1558667576332304,0.0459962790987172,0.739747976641268,200.0,69.0,1.0,2.898550724637681,1.0642108619507773
ExcitableCell,3,0.018409598977801638,1.939542956098054,0.009491720160113296,0.7164303367057223,42.99999999999999,22.0,0.0,1.9545454545454541,0.6701576623352463
Finance,3,0.028775000450855605,2.269476385474343,0.012679136313128609,0.0935410644267021,33.0,18.0,0.0,1.8333333333333333,0.6061358035703155
GenesioTesi,3,0.03904736854710425,2.147299772588028,0.018184404918947343,0.105090611375193,200.0,200.0,1.0,1.0,0.0
GlycolyticOscillation,3,0.00372805370831267,2.1206673542720953,0.001757962511566223,0.0215945612418167,40.0,169.0,0.0,0.23668639053254437,-1.4410192608091372
GuckenheimerHolmes,3,0.029354382942463883,2.2572012557408705,0.013004769897148154,0.7885729042404602,200.0,200.0,1.0,1.0,0.0
Hadley,3,0.06176625096442626,2.2785463939249873,0.027107743396889417,0.2386587703845738,200.0,111.0,1.0,1.8018018018018018,0.5887871652357025
Halvorsen,3,0.025042530496058826,2.245218013076906,0.011153718859461616,0.6963711539102683,187.0,193.00000000000003,0.3333333333333333,0.9689119170984455,-0.031581572050299045
