budget,corr_dim_pub,density_kl,dim,diverged,epochs,final_train_loss,kaplan_yorke_dim,lyap_max,lyap_time_per_step,n_params,n_train,nrmse_1,seed,smape_1,smape_all,spectrum_error,system,vpt_lyap,vpt_steps,wall_s
1000,1.796820702938341,2.4880139951318756,3,False,200,0.0001756518461043015,2.0146095059018845,0.15059688939547888,0.008898167806821265,1011,500,0.02498995713184215,0,0.03573751449133286,0.6453771499049787,2.0366749228355814,Rossler,0.28474136981828047,32.0,4.76
1000,1.796820702938341,0.1910978308236185,3,False,200,8.889876096509397e-05,2.0146095059018845,0.15059688939547888,0.008898167806821265,1011,500,0.01945174305697172,1,0.028393751809320345,0.7020036415560323,0.5118547406049939,Rossler,0.18686152394324657,21.0,1.29
1000,1.796820702938341,3.9863553670798617,3,False,200,0.00022892736457288265,2.0146095059018845,0.15059688939547888,0.008898167806821265,1011,500,0.026196643026494482,2,0.03845369981319722,1.0759986734378149,3.0404010970239184,Rossler,0.13347251710231897,15.0,1.12
2200,1.796820702938341,0.19996109118802805,3,False,200,0.00010309096000855788,2.0146095059018845,0.15059688939547888,0.008898167806821265,2196,500,0.01961048567556114,0,0.03298469051016754,0.4567330572435093,0.7009965559953034,Rossler,0.18686152394324657,21.0,1.31
2200,1.796820702938341,1.8196655642159403,3,False,200,0.00017148866306524723,2.0146095059018845,0.15059688939547888,0.008898167806821265,2196,500,0.023702715705562684,1,0.025679033074470614,0.7943371656529808,1.425399785496608,Rossler,0.1512688527159615,17.0,1.32
2200,1.796820702938341,0.12935547624620403,3,False,200,0.00015363460616208614,2.0146095059018845,0.15059688939547888,0.008898167806821265,2196,500,0.023874297984816963,2,0.028240538362069245,0.6131681224813597,0.6168170156332721,Rossler,0.16906518832960402,19.0,1.85
4600,1.796820702938341,0.05202535724193347,3,False,200,6.327333638910204e-05,2.0146095059018845,0.15059688939547888,0.008898167806821265,4611,500,0.016764733831380933,0,0.02810202311801276,0.3939305888034783,0.8095879209582978,Rossler,0.33813037665920803,38.0,2.01
4600,1.796820702938341,0.13020929116626143,3,False,200,6.824872799916193e-05,2.0146095059018845,0.15059688939547888,0.008898167806821265,4611,500,0.01752938770723497,1,0.021070857004623533,0.44463062915373397,0.3265082435373775,Rossler,0.18686152394324657,21.0,1.65
4600,1.796820702938341,0.15637060748847006,3,False,200,8.455989527283236e-05,2.0146095059018845,0.15059688939547888,0.008898167806821265,4611,500,0.017318792173354698,2,0.026914218140950023,0.5902418852544673,0.8835756908174418,Rossler,0.16016702052278275,18.0,1.6
10000,1.796820702938341,0.08415443748329965,3,False,200,5.3946765372529624e-05,2.0146095059018845,0.15059688939547888,0.008898167806821265,9987,500,0.01637798635703662,0,0.02433288658995435,0.39501910871220824,0.5869903433392963,Rossler,0.17796335613642528,20.0,2.49
