budget,corr_dim_pub,density_kl,dim,diverged,epochs,err_h1,err_h10,err_h100,err_h1000,err_h200,err_h50,err_h500,final_train_loss,kaplan_yorke_dim,lyap_max,lyap_time_per_step,n_params,n_train,nrmse_1,pts_per_period,rollout_steps,seed,smape_1,smape_all,spectrum_error,system,vpt_censored,vpt_lyap,vpt_steps,wall_s
1000,1.796820702938341,4.329405434723673,3,False,200,0.01444647554308176,0.5362708568572998,50.46764373779297,673.0464477539062,118.90592193603516,18.801433563232422,326.5855407714844,0.00027602144377306104,2.0146095059018845,0.15059688939547888,0.04449083903410632,1011,2000,0.014473722558946469,20,1000,0,0.028023839651299887,1.9357194471343424,2.77728324369062,Rossler,False,0.4004175513069569,9.0,6.42
1000,1.796820702938341,2.841851566234968,3,False,200,0.014363748952746391,0.4596725106239319,9.121113777160645,273.0280456542969,32.92333221435547,3.688889503479004,115.72166442871094,0.00025598944467492403,2.0146095059018845,0.15059688939547888,0.04449083903410632,1011,2000,0.01447797780400132,20,1000,1,0.04366164452627291,1.7221307825935297,1.989407757046952,Rossler,False,0.2669450342046379,5.999999999999999,3.12
1000,1.796820702938341,0.38953459843077365,3,False,200,0.011917270720005035,0.7176322340965271,3.135828971862793,62.40036392211914,8.866569519042969,1.332397222518921,28.645877838134766,0.00022858805872965604,2.0146095059018845,0.15059688939547888,0.04449083903410632,1011,2000,0.012011665148670058,20,1000,2,0.03195302060198021,1.2350811169984008,0.4876925023904926,Rossler,False,0.3114358732387442,7.0,3.12
2200,1.796820702938341,1.304399954562229,3,False,200,0.011251376010477543,0.3797166645526886,19.346128463745117,490.2162170410156,59.25847244262695,4.463586330413818,207.84410095214844,0.00015214153577107936,2.0146095059018845,0.15059688939547888,0.04449083903410632,2196,2000,0.01128179371555092,20,1000,0,0.024015066293122916,1.7250536252022155,2.597937886285667,Rossler,False,0.2669450342046379,5.999999999999999,3.32
2200,1.796820702938341,4.716361851051564,3,False,200,0.013591797091066837,1.1700377464294434,23.234046936035156,165.8247833251953,44.111324310302734,11.258953094482422,96.03839111328125,0.00014889929885976015,2.0146095059018845,0.15059688939547888,0.04449083903410632,2196,2000,0.013635683238990972,20,1000,1,0.02719544237867108,1.9297393817691364,1.822613910896304,Rossler,False,0.2224541951705316,5.0,3.3
2200,1.796820702938341,0.15343241734087495,3,False,200,0.011881941929459572,0.14975260198116302,1.102822184562683,1.5397069454193115,0.9359248876571655,0.5064298510551453,1.3807711601257324,0.0001114349290728569,2.0146095059018845,0.15059688939547888,0.04449083903410632,2196,2000,0.011908205825779523,20,1000,2,0.020902683099076152,1.0141409503686165,0.5759149900610182,Rossler,False,1.0232892977844454,23.000000000000004,3.44
4600,1.796820702938341,4.77374290391922,3,False,200,0.012433788739144802,0.7407630085945129,23.721599578857422,351.66796875,60.616050720214844,8.369662284851074,168.78932189941406,0.00013419469259679317,2.0146095059018845,0.15059688939547888,0.04449083903410632,4611,2000,0.012448136182551717,20,1000,0,0.021756284995311126,1.9154244741518047,2.6694750370166624,Rossler,False,0.2669450342046379,5.999999999999999,4.72
4600,1.796820702938341,2.942001924748539,3,False,200,0.009744533337652683,0.35794681310653687,14.982048988342285,271.0479431152344,36.98924255371094,5.60664176940918,118.27886962890625,9.162859112257138e-05,2.0146095059018845,0.15059688939547888,0.04449083903410632,4611,2000,0.009769657862304711,20,1000,1,0.020428199579820828,1.8435052533754321,2.7110015267776952,Rossler,False,0.3114358732387442,7.0,3.58
4600,1.796820702938341,4.226716975337349,3,False,200,0.010941702872514725,0.7766565084457397,25.28255844116211,282.5350646972656,54.64201736450195,11.083427429199219,142.04693603515625,0.00011901997303357348,2.0146095059018845,0.15059688939547888,0.04449083903410632,4611,2000,0.010976763557959212,20,1000,2,0.022835068944129445,1.8262333976995406,2.3003177667479418,Rossler,False,0.2669450342046379,5.999999999999999,3.5
10000,1.796820702938341,4.507143735703532,3,False,200,0.008463937789201736,0.7751343250274658,39.02233123779297,549.022216796875,95.02106475830078,14.565025329589844,266.2998046875,5.651468370342627e-05,2.0146095059018845,0.15059688939547888,0.04449083903410632,9987,2000,0.008480516235950636,20,1000,0,0.016798154912013766,1.9245852861290083,2.778261371206764,Rossler,False,0.2669450342046379,5.999999999999999,3.92
10000,1.796820702938341,5.2069748936957865,3,False,200,0.007893366739153862,0.5758684277534485,18.350797653198242,308.5448303222656,49.47402572631836,5.222082614898682,141.5931396484375,5.230101503548212e-05,2.0146095059018845,0.15059688939547888,0.04449083903410632,9987,2000,0.00790180484735928,20,1000,1,0.013899828317070281,1.9010929491392692,2.5978878589492,Rossler,False,0.3114358732387442,7.0,4.2
10000,1.796820702938341,4.072385117042136,3,False,200,0.010856274515390396,1.202346920967102,12.035833358764648,128.63963317871094,24.452943801879883,6.067907333374023,64.61493682861328,6.750260043190792e-05,2.0146095059018845,0.15059688939547888,0.04449083903410632,9987,2000,0.01086774544233207,20,1000,2,0.016101954409762236,1.8953056840137255,1.9608672280366877,Rossler,False,0.2669450342046379,5.999999999999999,4.59
22000,1.796820702938341,3.0590611077700594,3,False,200,0.006448058411478996,0.09302850067615509,3.0876786708831787,263.81927490234375,19.285669326782227,0.9729456901550293,97.39199829101562,5.028246992151253e-05,2.0146095059018845,0.15059688939547888,0.04449083903410632,21891,2000,0.0065094084953767894,20,1000,0,0.013784919861850056,1.3702616497463729,2.7375463928514314,Rossler,False,1.2012526539208706,27.0,5.51
22000,1.796820702938341,0.3231347347413149,3,False,200,0.007335817441344261,0.5221670866012573,1.3497722148895264,1.4749348163604736,1.475597620010376,1.399516224861145,1.4251846075057983,6.03517236886546e-05,2.0146095059018845,0.15059688939547888,0.04449083903410632,21891,2000,0.00735216240255205,20,1000,1,0.014003375612149668,1.0578660018853956,0.46783823368910754,Rossler,False,0.3114358732387442,7.0,5.94
22000,1.796820702938341,4.772155565037086,3,False,200,0.010044405236840248,0.928351104259491,19.640926361083984,289.345947265625,48.15949249267578,6.156030654907227,138.15328979492188,5.315298688947223e-05,2.0146095059018845,0.15059688939547888,0.04449083903410632,21891,2000,0.010051296879679865,20,1000,2,0.015575440681096902,1.913770542550283,2.492832278185632,Rossler,False,0.2669450342046379,5.999999999999999,5.3
46000,1.796820702938341,4.335712647667867,3,False,200,0.0054487790912389755,0.9068260788917542,25.932313919067383,323.7150573730469,57.80247497558594,10.678298950195312,157.4814453125,2.9712831528740937e-05,2.0146095059018845,0.15059688939547888,0.04449083903410632,46212,2000,0.005474639271122669,20,1000,0,0.01189922064126346,1.9362245855458513,2.646609323348352,Rossler,False,0.35592671227285055,8.0,6.73
46000,1.796820702938341,3.7948962232199466,3,False,200,0.0072884149849414825,0.4300811290740967,11.596149444580078,289.4403381347656,36.76752853393555,4.020370006561279,134.63629150390625,5.2701373788295315e-05,2.0146095059018845,0.15059688939547888,0.04449083903410632,46212,2000,0.007289101922556676,20,1000,1,0.013388763654908355,1.8907338942858767,2.4941252799043254,Rossler,False,0.4004175513069569,9.0,7.51
