budget,family,final_train_loss,knob,lyap,n_params,rel_error,seed,wall_s
200,StandardMap,3.334101118525723e-06,0.7,4.270901351321813e-05,211,0.0024205661263781543,0,15.18
200,StandardMap,1.6923974635574268e-06,0.7,4.270901351321813e-05,211,0.0017246358916318631,1,12.34
200,StandardMap,2.107988915668102e-06,0.7,4.270901351321813e-05,211,0.0019253838521181789,2,12.17
200,StandardMap,2.9049774766463088e-06,0.7,4.270901351321813e-05,211,0.002260292431242373,3,12.04
200,StandardMap,2.196547991843545e-06,0.7,4.270901351321813e-05,211,0.001965195219758692,4,12.0
400,StandardMap,1.760679142535082e-06,0.7,4.270901351321813e-05,386,0.001758907163043922,0,12.06
400,StandardMap,9.95993538708717e-07,0.7,4.270901351321813e-05,386,0.0013244125181840572,1,11.92
400,StandardMap,9.375811787322164e-07,0.7,4.270901351321813e-05,386,0.0012846556331725632,2,12.06
400,StandardMap,9.926692559929507e-07,0.7,4.270901351321813e-05,386,0.0013220683760607039,3,12.35
400,StandardMap,1.1200263170394465e-06,0.7,4.270901351321813e-05,386,0.0014032877764896163,4,12.13
800,StandardMap,1.0442465836604242e-06,0.7,4.270901351321813e-05,827,0.0013550630870630806,0,13.24
800,StandardMap,5.410470162132696e-07,0.7,4.270901351321813e-05,827,0.0009752270979600891,1,12.9
800,StandardMap,4.3410151829448297e-07,0.7,4.270901351321813e-05,827,0.0008729868175750043,2,12.96
800,StandardMap,6.527225282297878e-07,0.7,4.270901351321813e-05,827,0.0010719815332331508,3,12.97
800,StandardMap,7.128935690161598e-07,0.7,4.270901351321813e-05,827,0.001119113097390484,4,12.95
1600,StandardMap,5.085768586923223e-07,0.7,4.270901351321813e-05,1586,0.0009448623699562602,0,13.24
1600,StandardMap,4.483918241930951e-07,0.7,4.270901351321813e-05,1586,0.0008871712851522057,1,13.38
1600,StandardMap,4.6224984680520717e-07,0.7,4.270901351321813e-05,1586,0.0009009523806304224,2,13.29
1600,StandardMap,3.896066104971396e-07,0.7,4.270901351321813e-05,1586,0.0008284379306774242,3,13.01
1600,StandardMap,7.239586661853536e-07,0.7,4.270901351321813e-05,1586,0.001127912659343987,4,13.04
3200,StandardMap,3.7085927215230185e-07,0.7,4.270901351321813e-05,3235,0.0008071695637647863,0,14.13
3200,StandardMap,4.436203898876556e-07,0.7,4.270901351321813e-05,3235,0.0008833739385146022,1,14.38
3200,StandardMap,3.902942671629717e-07,0.7,4.270901351321813e-05,3235,0.0008280901215995353,2,14.22
3200,StandardMap,3.3638644299571753e-07,0.7,4.270901351321813e-05,3235,0.0007696896822261544,3,14.44
3200,StandardMap,3.831048488791566e-07,0.7,4.270901351321813e-05,3235,0.0008207334232646898,4,14.23
6400,StandardMap,2.6402114667689604e-07,0.7,4.270901351321813e-05,6386,0.0006820361611251792,0,15.97
