cap_all,cap_max,cap_median,cap_min,family,knob,lyap,n_seeds_reaching,tolerance
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.7,4.270901351321813e-05,5,0.005
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.7,4.270901351321813e-05,5,0.01
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.7,4.270901351321813e-05,5,0.02
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.7,4.270901351321813e-05,5,0.05
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.7,4.270901351321813e-05,5,0.1
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,0.7,4.270901351321813e-05,5,0.2
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,1.3,4.692233620569392e-05,5,0.005
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,1.3,4.692233620569392e-05,5,0.01
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,1.3,4.692233620569392e-05,5,0.02
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,1.3,4.692233620569392e-05,5,0.05
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,1.3,4.692233620569392e-05,5,0.1
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,1.3,4.692233620569392e-05,5,0.2
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,3.0,2.195060852535782e-05,5,0.005
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,3.0,2.195060852535782e-05,5,0.01
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,3.0,2.195060852535782e-05,5,0.02
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,3.0,2.195060852535782e-05,5,0.05
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,3.0,2.195060852535782e-05,5,0.1
"[211.0, 211.0, 211.0, 211.0, 211.0]",211.0,211.0,211.0,StandardMap,3.0,2.195060852535782e-05,5,0.2
"[nan, nan, nan, nan, nan]",nan,nan,nan,StandardMap,8.0,1.395969304356766,0,0.005
"[nan, nan, nan, nan, nan]",nan,nan,nan,StandardMap,8.0,1.395969304356766,0,0.01
"[nan, nan, nan, nan, nan]",nan,nan,nan,StandardMap,8.0,1.395969304356766,0,0.02
"[nan, nan, nan, nan, nan]",nan,nan,nan,StandardMap,8.0,1.395969304356766,0,0.05
"[nan, nan, nan, nan, nan]",nan,nan,nan,StandardMap,8.0,1.395969304356766,0,0.1
"[nan, nan, nan, nan, nan]",nan,nan,nan,StandardMap,8.0,1.395969304356766,0,0.2
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.06,nan,5,0.005
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.06,nan,5,0.01
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.06,nan,5,0.02
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.06,nan,5,0.05
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.06,nan,5,0.1
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.06,nan,5,0.2
"[189.0, 189.0, 393.0, 189.0, 393.0]",393.0,189.0,189.0,HenonMap,1.18,nan,5,0.005
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.18,nan,5,0.01
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.18,nan,5,0.02
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.18,nan,5,0.05
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.18,nan,5,0.1
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.18,nan,5,0.2
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.3,nan,5,0.005
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.3,nan,5,0.01
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.3,nan,5,0.02
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.3,nan,5,0.05
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.3,nan,5,0.1
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.3,nan,5,0.2
"[393.0, 393.0, 393.0, 393.0, 393.0]",393.0,393.0,393.0,HenonMap,1.4,nan,5,0.005
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.4,nan,5,0.01
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.4,nan,5,0.02
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.4,nan,5,0.05
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.4,nan,5,0.1
"[189.0, 189.0, 189.0, 189.0, 189.0]",189.0,189.0,189.0,HenonMap,1.4,nan,5,0.2
