dataset,optimizer,seed,train_loss,train_wall_s,nrmse_hidden,best_steps
cml_lattice,adamw,0,0.007709293245253238,78.94,0.6510888733081818,8
cml_lattice,adamw,1,0.007547820029272275,76.83,0.6773270668923527,8
cml_lattice,nadam,0,0.009551814503290436,77.19,0.7525182584864881,8
cml_lattice,nadam,1,0.0092421535783532,76.41,0.7632745731229759,8
cml_lattice,radam,0,0.012085600290447474,85.3,0.8738180952113666,8
cml_lattice,radam,1,0.011218269355595112,139.14,0.8338302085881713,16
cml_lattice,adamax,0,0.02142086870629679,82.21,1.0156009241961899,32
cml_lattice,adamax,1,0.02092482843859629,112.27,1.009511695500989,32
cml_lattice,sgdm,0,0.021402903663163834,101.18,1.0161545823112907,32
cml_lattice,sgdm,1,0.02090834267437458,124.44,1.0091290933550097,32
