pair,method,ordered,shuffled,change
cml_lattice,A1_local,0.633,1.0,0.367
cml_lattice,A2_pooled,0.639,1.0,0.362
cml_lattice,A3_attentive,0.623,0.998,0.375
cml_lattice,A4_interleaved,0.617,1.0,0.383
cml_lattice,local_mean,0.795,1.287,0.492
cml_lattice,nearest_neighbour,1.24,1.239,-0.0
cml_lattice,pca_impute,1.168,1.172,0.004
digits_8x8,A1_local,0.586,0.998,0.412
digits_8x8,A2_pooled,0.579,0.997,0.418
digits_8x8,A3_attentive,0.618,0.994,0.376
digits_8x8,A4_interleaved,0.505,0.707,0.201
digits_8x8,local_mean,0.688,1.11,0.422
digits_8x8,nearest_neighbour,0.512,0.52,0.008
digits_8x8,pca_impute,0.978,0.899,-0.079
multitone_signal,A1_local,0.518,0.995,0.477
multitone_signal,A2_pooled,0.53,0.995,0.465
multitone_signal,A3_attentive,0.518,0.995,0.477
multitone_signal,A4_interleaved,0.389,0.995,0.606
multitone_signal,local_mean,0.843,1.317,0.474
multitone_signal,nearest_neighbour,0.89,0.896,0.005
multitone_signal,pca_impute,0.857,0.836,-0.021
