,true_best_family,selector_pick,pick_domain_holdout,regret,regret_domain,kind
abalone,classical,classical,classical,0.0,0.0,biological
airline_monthly,classical,classical,classical,0.0,0.0,human
airline_passengers,classical,classical,classical,0.0,0.0,human
auto_imports,classical,trivial,trivial,0.0269486206628525,0.0269486206628525,engineering
banknote,neural,classical,classical,0.01622406707680024,0.01622406707680024,sensor
bc_wisconsin,classical,trivial,classical,0.006233652515521396,0.0,biomedical
births_daily,classical,classical,classical,0.0,0.0,human
breast_cancer,trivial,trivial,trivial,0.0,0.0,biomedical
co2_weekly,classical,classical,classical,0.0,0.0,physical
ctrl_periodic,classical,neural,neural,1.0315029697172129e-05,1.0315029697172129e-05,control
ctrl_random_walk,trivial,classical,classical,0.00013313093792988173,0.00013313093792988173,control
ctrl_white_noise,trivial,classical,classical,0.0187592266415628,0.0187592266415628,control
diabetes_tab,trivial,trivial,trivial,0.0,0.0,biomedical
digits_rows,trivial,classical,classical,0.0324575402795079,0.0324575402795079,image
ecoli,trivial,trivial,trivial,0.0,0.0,biological
german_credit,trivial,trivial,trivial,0.0,0.0,economic
glass,trivial,trivial,trivial,0.0,0.0,chemical
grunfeld_firms,neural,classical,classical,0.018081251887449357,0.018081251887449357,economic
haberman,classical,trivial,trivial,0.4247761265741501,0.4247761265741501,biomedical
horse_colic,trivial,trivial,trivial,0.0,0.0,biomedical
housing_boston,trivial,trivial,trivial,0.0,0.0,economic
ionosphere,trivial,classical,classical,0.4367755631594706,0.4367755631594706,sensor
iris,neural,classical,classical,0.5279157108526419,0.5279157108526419,biological
macro_us,trivial,trivial,trivial,0.0,0.0,economic
mammography,classical,classical,trivial,0.0,0.029484759805262703,biomedical
oil_spill,classical,trivial,classical,0.0958611924726789,0.0,sensor
paper_sales,neural,classical,classical,0.1309276967049374,0.1309276967049374,economic
phoneme,trivial,trivial,trivial,0.0,0.0,audio
pima_diabetes,trivial,trivial,trivial,0.0,0.0,biomedical
pollution_beijing,neural,classical,classical,0.01165171179823965,0.01165171179823965,sensor
sim_DequanLi,classical,neural,classical,2.3321822772204293e-05,0.0,sim-chaos
sim_Halvorsen,neural,neural,classical,0.0,0.00013365203237436507,sim-chaos
sim_HyperCai,classical,neural,classical,0.00033996897563670636,0.0,sim-chaos
sim_Lorenz,neural,neural,classical,0.0,0.00018725757606996574,sim-chaos
sim_Rossler,neural,neural,classical,0.0,0.000135304892126209,sim-chaos
sim_Thomas,neural,neural,classical,0.0,0.00018329808105155276,sim-chaos
sonar,trivial,trivial,trivial,0.0,0.0,sensor
sunspots_annual,classical,classical,classical,0.0,0.0,physical
sunspots_monthly,classical,classical,classical,0.0,0.0,physical
temps_daily_max,classical,classical,classical,0.0,0.0,weather
temps_daily_min,classical,classical,classical,0.0,0.0,weather
temps_monthly_mean,classical,classical,classical,0.0,0.0,weather
thyroid,trivial,trivial,trivial,0.0,0.0,biomedical
wheat_seeds,trivial,trivial,trivial,0.0,0.0,biological
wine_quality_red,classical,trivial,trivial,0.0387619365952132,0.0387619365952132,chemical
wine_quality_white,classical,trivial,trivial,0.0825281556338382,0.0825281556338382,chemical
wine_tab,trivial,trivial,trivial,0.0,0.0,chemical
